Марка;Цена;Метро;Ссылка
Lexus RX, 2019;3 180 000  ₽;Варшавская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2019_1972011212
Lexus RX, 2020;5 351 000  ₽;Ховрино;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_2003373482
Lexus LX, 2020;8 264 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1971079805
Lexus ES, 2020;4 440 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_es_2020_1971633165
Lexus ES, 2020;4 560 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_es_2020_2003503528
Lexus NX, 2020;3 281 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_1971679613
Lexus LX, 2020;7 880 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1971026417
Lexus LX, 2020;8 294 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1906956683
Lexus RX, 2020;3 784 000  ₽;Ховрино;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_2003143556
Lexus RX, 2011;1 349 000  ₽;Румянцево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2011_1990930300
Lexus RX, 2020;3 840 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_1971212577
Lexus LX, 2020;8 179 230  ₽;Ховрино;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1971319584
Lexus RX, 2020;3 841 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_2003523032
Lexus LX, 2020;7 806 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1965314706
Lexus LX, 2020;9 740 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_2003770842
Lexus RX, 2020;3 802 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_2003487159
Lexus NX, 2020;3 501 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_2003282580
Lexus LX, 2020;9 844 000  ₽;Медведково;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1907810212
Lexus ES, 2020;4 070 000  ₽;Ховрино;https://www.avito.ru/moskva/avtomobili/lexus_es_2020_1971876835
Lexus RX, 2020;4 000 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_2003172748
Lexus LX, 2020;8 220 000  ₽;Ховрино;https://www.avito.ru/moskva/avtomobili/lexus_lx_2020_1971598892
Lexus RX, 2020;3 870 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_1970931309
Lexus RX, 2020;5 182 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2020_1971073677
Lexus LX, 2014;3 290 000  ₽;Ломоносовский проспект;https://www.avito.ru/moskva/avtomobili/lexus_lx_2014_2005763603
Lexus RX, 2012;1 638 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2012_1998460371
Lexus LS, 2012;1 480 000  ₽;Верхние Лихоборы;https://www.avito.ru/moskva/avtomobili/lexus_ls_2012_2004433434
Lexus GX, 2013;2 749 000  ₽;Марьино;https://www.avito.ru/moskva/avtomobili/lexus_gx_2013_2003870147
Lexus LX, 2019;10 700 000  ₽;Киевская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2019_1982145862
Lexus LX, 2018;7 000 000  ₽;Щукинская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2018_2002540099
Lexus RX, 2015;2 756 000  ₽;Волоколамская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2015_1964197254
Lexus ES, 2012;1 399 000  ₽;Бутырская;https://www.avito.ru/moskva/avtomobili/lexus_es_2012_2006493421
Lexus GX, 2015;3 414 400  ₽;Алтуфьево;https://www.avito.ru/moskva/avtomobili/lexus_gx_2015_1992471713
Lexus GS, 1998;390 000  ₽;ВДНХ;https://www.avito.ru/moskva/avtomobili/lexus_gs_1998_2007672447
Lexus GS, 2009;1 040 000  ₽;Шаболовская;https://www.avito.ru/moskva/avtomobili/lexus_gs_2009_1984056142
Lexus RX, 2014;2 095 000  ₽;Румянцево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2014_1991374347
Lexus CT, 2011;1 250 000  ₽;Улица академика Янгеля;https://www.avito.ru/moskva/avtomobili/lexus_ct_2011_2001574318
Lexus IS, 2011;850 000  ₽;Окская;https://www.avito.ru/moskva/avtomobili/lexus_is_2011_1966047786
Lexus GX, 2004;1 062 000  ₽;Бабушкинская;https://www.avito.ru/moskva/avtomobili/lexus_gx_2004_1977959460
Lexus IS, 2010;920 000  ₽;Планерная;https://www.avito.ru/moskva/avtomobili/lexus_is_2010_1970519622
Lexus LX, 2017;5 150 000  ₽;Молодежная;https://www.avito.ru/moskva/avtomobili/lexus_lx_2017_1999331708
Lexus RX, 2008;950 000  ₽;Алтуфьево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2008_1761399578
Lexus UX, 2019;2 515 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_ux_2019_1978058346
Lexus LX, 2017;4 870 000  ₽;Крылатское;https://www.avito.ru/moskva/avtomobili/lexus_lx_2017_1978229558
Lexus RX, 2012;1 445 000  ₽;Академическая;https://www.avito.ru/moskva/avtomobili/lexus_rx_2012_1965377211
Lexus RX, 2015;1 490 000  ₽;Кунцевская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2015_1976308300
Lexus IS, 2008;820 000  ₽;Митино;https://www.avito.ru/moskva/avtomobili/lexus_is_2008_1982516696
Lexus LX, 2012;2 850 000  ₽;ВДНХ;https://www.avito.ru/moskva/avtomobili/lexus_lx_2012_1908606333
Lexus LX, 2015;3 830 000  ₽;Варшавская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2015_1967198052
Lexus RX, 2019;4 300 000  ₽;Автозаводская;https://www.avito.ru/moskva/avtomobili/lexus_rx_2019_2009160430
Lexus LX, 2018;7 300 000  ₽;Шелепиха;https://www.avito.ru/moskva/avtomobili/lexus_lx_2018_2011673330
Lexus ES, 2015;1 720 000  ₽;Жулебино;https://www.avito.ru/moskva/avtomobili/lexus_es_2015_1997794067
Lexus RX, 2016;3 198 000  ₽;Ясенево;https://www.avito.ru/moskva/avtomobili/lexus_rx_2016_2011998658
Lexus RX, 2019;1 280 000  ₽;Митино;https://www.avito.ru/moskva/avtomobili/lexus_rx_2019_1988430740
Lexus LS, 2014;2 050 000  ₽;Новые Черемушки;https://www.avito.ru/moskva/avtomobili/lexus_ls_2014_2007860483
Lexus RX, 2008;770 000  ₽;Молодежная;https://www.avito.ru/moskva/avtomobili/lexus_rx_2008_1994010020
Lexus LX, 2016;4 500 000  ₽;Добрынинская;https://www.avito.ru/moskva/avtomobili/lexus_lx_2016_1986380748
Lexus RX, 2004;850 000  ₽;Филевский парк;https://www.avito.ru/moskva/avtomobili/lexus_rx_2004_1975798864
Lexus GS, 2014;1 630 000  ₽;Люблино;https://www.avito.ru/moskva/avtomobili/lexus_gs_2014_2010934505
Lexus GS, 2010;950 000  ₽;Шипиловская;https://www.avito.ru/moskva/avtomobili/lexus_gs_2010_2012116384
Lexus ES, 2014;1 399 000  ₽;Алтуфьево;https://www.avito.ru/moskva/avtomobili/lexus_es_2014_1988883735
Lexus LS, 2002;540 000  ₽;Косино;https://www.avito.ru/moskva/avtomobili/lexus_ls_2002_2000449914
Lexus RX, 2013;2 000 000  ₽;Преображенская площадь;https://www.avito.ru/moskva/avtomobili/lexus_rx_2013_1965100217
Lexus NX, 2020;3 236 000  ₽;Угрешская;https://www.avito.ru/moskva/avtomobili/lexus_nx_2020_1997558400
Lexus GX, 2012;1 950 000  ₽;Ломоносовский проспект;https://www.avito.ru/moskva/avtomobili/lexus_gx_2012_1985578389
Lexus LS, 2008;900 000  ₽;Домодедовская;https://www.avito.ru/moskva/avtomobili/lexus_ls_2008_2012464597
